11,Chaloupe,1,200,20
12,Corvette,2,300,40
13,Fregate,3,300,60
14,Flute,4,800,60
15,Gallion,5,1000,100
21,Chaloupe,1,200,20
22,Corvette,2,300,40
23,Fregate,3,300,60
24,Flute,4,800,60
25,Gallion,5,1000,100
31,Chaloupe,1,200,20
32,Corvette,2,300,40
33,Fregate,3,300,60
34,Flute,4,800,60
35,Gallion,5,1000,100
41,Chaloupe,1,200,20
42,Corvette,2,300,40
43,Fregate,3,300,60
44,Flute,4,800,60
45,Gallion,5,1000,100
51,Chaloupe,1,200,20
52,Corvette,2,300,40
53,Fregate,3,300,60
54,Flute,4,800,60
55,Gallion,5,1000,100
61,Chaloupe,1,200,20
62,Corvette,2,300,40
63,Fregate,3,300,60
64,Flute,4,800,60
65,Gallion,5,1000,100
71,Chaloupe,1,200,20
72,Corvette,2,300,40
73,Fregate,3,300,60
74,Flute,4,800,60
75,Gallion,5,1000,100
81,Chaloupe,1,200,20
82,Corvette,2,300,40
83,Fregate,3,300,60
84,Flute,4,800,60
85,Gallion,5,1000,100
91,Chaloupe,1,200,20
92,Corvette,2,300,40
93,Fregate,3,300,60
94,Flute,4,800,60
95,Gallion,5,1000,100
101,Chaloupe,1,200,20
102,Corvette,2,300,40
103,Fregate,3,300,60
104,Flute,4,800,60
105,Gallion,5,1000,100
111,Chaloupe,1,200,20
112,Corvette,2,300,40
113,Fregate,3,300,60
114,Flute,4,800,60
115,Gallion,5,1000,100
121,Chaloupe,1,200,20
122,Corvette,2,300,40
123,Fregate,3,300,60
124,Flute,4,800,60
125,Gallion,5,1000,100
131,Chaloupe,1,200,20
132,Corvette,2,300,40
133,Fregate,3,300,60
134,Flute,4,800,60
135,Gallion,5,1000,100
141,Chaloupe,1,200,20
142,Corvette,2,300,40
143,Fregate,3,300,60
144,Flute,4,800,60
145,Gallion,5,1000,100
151,Chaloupe,1,200,20
152,Corvette,2,300,40
153,Fregate,3,300,60
154,Flute,4,800,60
155,Gallion,5,1000,100
161,Chaloupe,1,200,20
162,Corvette,2,300,40
163,Fregate,3,300,60
164,Flute,4,800,60
165,Gallion,5,1000,100
171,Chaloupe,1,200,20
172,Corvette,2,300,40
173,Fregate,3,300,60
174,Flute,4,800,60
175,Gallion,5,1000,100
181,Chaloupe,1,200,20
182,Corvette,2,300,40
183,Fregate,3,300,60
184,Flute,4,800,60
185,Gallion,5,1000,100
191,Chaloupe,1,200,20
192,Corvette,2,300,40
193,Fregate,3,300,60
194,Flute,4,800,60
195,Gallion,5,1000,100
201,Chaloupe,1,200,20
202,Corvette,2,300,40
203,Fregate,3,300,60
204,Flute,4,800,60
205,Gallion,5,1000,100
211,Chaloupe,1,200,20
212,Corvette,2,300,40
213,Fregate,3,300,60
214,Flute,4,800,60
215,Gallion,5,1000,100
221,Chaloupe,1,200,20
222,Corvette,2,300,40
223,Fregate,3,300,60
224,Flute,4,800,60
225,Gallion,5,1000,100
231,Chaloupe,1,200,20
232,Corvette,2,300,40
233,Fregate,3,300,60
234,Flute,4,800,60
235,Gallion,5,1000,100
241,Chaloupe,1,200,20
242,Corvette,2,300,40
243,Fregate,3,300,60
244,Flute,4,800,60
245,Gallion,5,1000,100
251,Chaloupe,1,200,20
252,Corvette,2,300,40
253,Fregate,3,300,60
254,Flute,4,800,60
255,Gallion,5,1000,100
261,Chaloupe,1,200,20
262,Corvette,2,300,40
263,Fregate,3,300,60
264,Flute,4,800,60
265,Gallion,5,1000,100
271,Chaloupe,1,200,20
272,Corvette,2,300,40
273,Fregate,3,300,60
274,Flute,4,800,60
275,Gallion,5,1000,100
281,Chaloupe,1,200,20
282,Corvette,2,300,40
283,Fregate,3,300,60
284,Flute,4,800,60
285,Gallion,5,1000,100
291,Chaloupe,1,200,20
292,Corvette,2,300,40
293,Fregate,3,300,60
294,Flute,4,800,60
295,Gallion,5,1000,100
301,Chaloupe,1,200,20
302,Corvette,2,300,40
303,Fregate,3,300,60
304,Flute,4,800,60
305,Gallion,5,1000,100
311,Chaloupe,1,200,20
312,Corvette,2,300,40
313,Fregate,3,300,60
314,Flute,4,800,60
315,Gallion,5,1000,100
321,Chaloupe,1,200,20
322,Corvette,2,300,40
323,Fregate,3,300,60
324,Flute,4,800,60
325,Gallion,5,1000,100
